CORRIDA,TURMA,PRODUCAO (T),PRODUCAO ACUMULADA (T),SUCATA (T),RENDIMENTO (%),POTENCIA (MW),POTENCIA (kWh),kWh/T,kWh/T ACUMULADO,kWh/min,kWh/min ACUMULADO,LAN O2 (Nm3),CARVAO (Kg),CJ O2 (Nm3),CJ GN (Nm3),PW_OFF (min),PW_ON (min),TTT (min),TEMP ,CARBONO (%),Turno
65825,GI,26.23365,26.23365,26,100.0,20.43137019230,9960,380,380,341,341,138,0,854.4361,194.5766,17.88333333,29.25,47.13333333333,1622,0.0520000010728836,Tarde
65826,GI,25.21412,51.44777,25,100.0,20.82051643087,10092,400,390,347,344,96,0,972.20728,178.4418,12.08333333,29.08333333333,41.16666666666,1648,0.046000000089407,Tarde
65827,GI,24.97082,76.41859,25,99.88328,21.25406812846,9588,384,388,354,347,129,0,925.6083,196.77102,18.9,27.06666666666,45.96666666666,1656,0.0179999992251396,Tarde
65828,GI,25.05192,101.47051,25,100.0,21.01464532265,9883,395,390,350,348,145,0,952.935,204.60633,21.86666666,28.21666666666,50.08333333333,1654,0.0670000016689301,Tarde
65829,GI,25.12722,126.59773,25,100.0,19.90034336715,10829,431,398,332,344,112,0,1118.0104,191.01278,11.4,32.65,44.05,1656,0.0640000030398369,Tarde
65830,GI,26.2742,152.87193,26,100.0,21.16825794198,10643,405,399,353,346,97,0,887.38744,170.70727,8.166666666,30.16666666666,38.33333333333,1662,0.0700000002980232,Tarde
65831,GI,26.23365,179.10558,26,100.0,21.42010142386,10395,396,399,357,347,97,0,907.39706,172.87953,11.41666666,29.11666666666,40.53333333333,1648,0.0719999969005585,Tarde
65832,GE,26.6797,205.78528,27,98.81370370370,20.88907158945,10224,383,397,348,347,128,0,923.3641,195.83705,16.5,29.36666666666,45.86666666666,1692,0.0540000014007092,Tarde
65833,GE,26.14097,231.92625,26,100.0,21.03660564045,10635,407,398,351,348,110,0,1009.92033,182.10219,10.31666666,30.33333333333,40.65,1668,0.0570000000298023,Tarde
65834,GE,26.04249,257.96874,26,100.0,21.064313693276,10573,406,399,351,348,115,0,1225.542,195.7843,17.516666666,30.116666666666,47.633333333333,1655,0.068000003695488,Tarde
