CORRIDA,TURMA,PRODUCAO (T),PRODUCAO ACUMULADA (T),SUCATA (T),RENDIMENTO (%),POTENCIA (MW),POTENCIA (kWh),kWh/T,kWh/T ACUMULADO,kWh/min,kWh/min ACUMULADO,LAN O2 (Nm3),CARVAO (Kg),CJ O2 (Nm3),CJ GN (Nm3),PW_OFF (min),PW_ON (min),TTT (min),TEMP ,CARBONO (%),Turno
65752,AD,26.32054,26.32054,26,100.0,20.82595184075,10558,401,401,347,347,71,190,963.21771,186.26211,8.383333333,30.41666666666,38.8,1618,0.0740000009536743,Manhā
65753,GE,26.45957,52.78011,26,100.0,21.16418495435,10465,396,398,353,350,110,161,887.52316,176.5132,12.75,29.66666666666,42.41666666666,1619,0.061999998986721,Manhā
65754,GE,25.16777,77.94788,25,100.0,21.62236091095,9898,393,397,360,353,110,142,835.84239,160.6672,7.666666666,27.46666666666,35.13333333333,1633,0.0529999993741512,Manhā
65755,GE,26.01353,103.96141,26,100.0,21.13924502881,10317,397,397,352,353,183,179,903.28947,178.24929,8.783333333,29.28333333333,38.06666666666,1672,0.0719999969005585,Manhā
65756,GE,26.00773,129.96914,26,100.0,21.27699579831,10550,406,398,355,353,119,160,1012.862,212.3656,18.35,29.75,48.1,1618,0.0689999982714653,Manhā
65757,GE,26.17572,156.14486,26,100.0,21.45334971438,9976,381,396,358,354,134,180,897.7141,215.6236,53.55,27.9,81.45,1648,0.0199999995529652,Manhā
65758,GE,26.22786,182.37272,26,100.0,21.22178474729,9797,374,392,354,354,105,198,867.5658,197.43289,17.16666666,27.7,44.86666666666,1639,0.0240000002086163,Manhā
65759,GE,26.06566,208.43838,26,100.0,20.53042006815,9518,365,389,342,353,120,146,793.52354,187.83847,12.1,27.81666666666,39.91666666666,1661,0.034000001847744,Manhā
65760,GE,25.04612,233.4845,25,100.0,20.36749104154,9720,388,389,339,351,99,113,878.05791,187.57164,12.31666666,28.63333333333,40.95,1621,0.0529999993741512,Manhā
65761,GE,26.05987,259.54437,26,100.0,20.151827944884,9712,373,387,336,350,105,118,815.28024,181.67245,13.683333333,28.916666666666,42.6,1639,0.0590000003576279,Manhā
65762,GE,26.19889,285.74326,26,100.0,20.1580078125,9642,368,385,336,348,131,35,746.41759,165.69162,7.2666666666,28.7,35.966666666666,1641,0.0570000000298023,Manhā
65763,GE,26.04249,311.78575,26,100.0,21.249145124345,10146,390,386,354,349,103,137,857.16785,183.54065,10.15,28.65,38.8,1688,0.0410000011324883,Manhā
