CORRIDA,TURMA,PRODUCAO (T),PRODUCAO ACUMULADA (T),SUCATA (T),RENDIMENTO (%),POTENCIA (MW),POTENCIA (kWh),kWh/T,kWh/T ACUMULADO,kWh/min,kWh/min ACUMULADO,LAN O2 (Nm3),CARVAO (Kg),CJ O2 (Nm3),CJ GN (Nm3),PW_OFF (min),PW_ON (min),TTT (min),TEMP ,CARBONO (%),Turno
65861,GI,25,25,25,100,21.45174654447,11155,446,446,358,358,80,284,1026.80616,180.79096,8.9,31.2,40.1,1667,0.0740000009536743,Manhā
65862,DI,26.32634,51.32634,26,100.0,20.89282738095,10969,417,431,348,353,76,177,893.43537,184.41405,8.533333333,31.5,40.03333333333,1673,0.063000001013279,Manhā
65863,DI,25.01137,76.33771,25,100.0,19.41238239020,9976,399,420,324,343,179,212,1023.07463,179.85635,8.183333333,30.83333333333,39.01666666666,1690,0.0719999969005585,Manhā
65864,DI,24.95344,101.29115,25,99.81376,21.75942083990,9580,384,411,363,347,71,126,849.43841,190.10798,14.95,26.41666666666,41.36666666666,1678,0.0689999982714653,Manhā
65865,DI,25.08667,126.37782,25,100.0,21.07132000430,9347,373,404,351,348,130,22,758.8796,164.02552,7.3,26.61666666666,33.91666666666,1695,0.0700000002980232,Manhā
65866,DI,24.14824,150.52606,24,100.0,21.56359249923,9728,403,404,359,350,137,236,900.23281,173.68791,9.316666666,27.06666666666,36.38333333333,1677,0.0740000009536743,Manhā
65867,DI,24.15403,174.68009,24,100.0,21.06702460779,8673,359,397,351,350,128,90,682.39442,168.01941,10.78333333,24.7,35.48333333333,1647,0.0509999990463257,Manhā
65868,DI,23.80067,198.48076,24,99.16945833333,21.60215473790,9301,391,397,360,351,143,109,815.03278,171.9421,10.58333333,25.83333333333,36.41666666666,1667,0.0299999993294477,Manhā
65869,DI,25.12722,223.60798,25,100.0,21.16644779569,9619,383,395,353,351,132,127,779.86916,178.43717,10.61666666,27.26666666666,37.88333333333,1672,0.0540000014007092,Manhā
65870,DI,25,248.60798,25,100,20.990500869614,9743,390,395,350,351,129,171,891.6649,214.2574,22.6,27.85,50.45,0,0,Manhā
65871,DI,24.91289,273.52087,25,99.65156,21.179062954215,9107,366,392,353,351,120,187,718.92322,165.07849,9.7166666666,25.8,35.516666666666,1657,0.0480000004172325,Manhā
65872,DI,25,298.52087,25,100,21.533798953409,8859,354,389,359,352,158,167,706.4462,162.67575,10.566666666,24.683333333333,35.25,1688,0.061999998986721,Manhā
65873,DI,25,323.52087,25,100,21.040934726331,9316,373,388,351,352,140,165,715.86372,162.39487,16.8,26.516666666666,43.316666666666,1637,0.0579999983310699,Manhā
65874,DI,24.79703,348.3179,25,99.18812,21.040934726331,8890,359,385,351,352,144,186,756.5312,203.2497,21.366666666,25.35,46.716666666666,1668,0.00499999988824129,Manhā
