CORRIDA,TURMA,PRODUCAO (T),PRODUCAO ACUMULADA (T),SUCATA (T),RENDIMENTO (%),POTENCIA (MW),POTENCIA (kWh),kWh/T,kWh/T ACUMULADO,kWh/min,kWh/min ACUMULADO,LAN O2 (Nm3),CARVAO (Kg),CJ O2 (Nm3),CJ GN (Nm3),PW_OFF (min),PW_ON (min),TTT (min),TEMP ,CARBONO (%)
65776,GI,24.97082,24.97082,25,99.88328,21.58834580838,10015,401,401,360,360,94,167,848.30856,167.41272,9.45,27.83333333333,37.28333333333,1688,0.0780000016093254
65777,DI,26.98093,51.95175,27,99.92937037037,21.53049950187,9192,341,370,359,359,127,0,673.51952,162.97127,10.1,25.61666666666,35.71666666666,1663,0.061999998986721
65778,DI,25.97297,77.92472,26,99.89603846153,21.11897423446,9627,371,370,352,357,110,201,759.20961,161.73585,7.4,27.35,34.75,1647,0.0839999988675117
65779,DI,26.04249,103.96721,26,100.0,20.72596900897,9379,360,368,345,354,112,0,761.27273,160.93646,6.333333333,27.15,33.48333333333,1686,0.046000000089407
65780,DI,24.95923,128.92644,25,99.83692,20.92742991727,9487,380,370,349,353,73,0,822.47323,195.43355,16.05,27.2,43.25,1651,0.0590000003576279
65781,DI,25.94401,154.87045,26,99.78465384615,20.88875686654,9441,364,369,348,352,142,0,813.24651,173.26857,16.73333333,27.11666666666,43.85,1634,0.0640000030398369
