Dia,Produçāo Acumulada,N Corridas,Pon (Min),Poff (Min),Pon Extra (Min),Poff Extra (Min),Sucata (T),Potencia (MW),Potencia (kWh),kWh/T Acumulado,kwh/min Acumulado,Lan O2 (Nm3),Carvāo (Kg),CJ O2 (Nm3),CJ GN (Nm3)
15,287.41159,11,311.33333333330904,117.91666665529999,13.166666666690958,-13.416666655299991,286.0,231.548306400052,109223.0,380,351,1606.0,1809.0,8874.66448,1941.9069
16,783.9161799999999,30.0,862.283333333265,361.03333329760005,22.716666666735023,-76.03333329760004,780.0,628.3549658519951,300912.0,1144.0,1049.0,3769.0,2760.0,25692.084479999998,5413.45544
17,647.87058,27.0,703.849999999947,273.2833332995,92.65000000005296,-16.783333299499986,646.0,519.191769263825,243741.0,749.0,693.0,3003.0,1758.0,20627.086539999997,4556.262669989999
18,582.82685,23.0,648.8499999999481,372.4666666076,29.65000000005199,-153.9666666076,580.0,462.11243861165406,226931.0,781.0,699.0,2689.0,0.0,19627.759271900002,3874.6988740000006
19,667.6855700000001,26.0,757.733333333273,948.683333226,9.26666666672702,-701.683333226,666.0,539.5282172129749,261870.0,1167.0,1039.0,3660.0,4152.0,21972.77675,4849.30329
20,348.3179,14,381.63333333329905,170.21666665060002,31.36666666670095,-37.21666665060002,348.0,295.77214903033,134263.0,385,352,1767.0,2259.0,11518.59258,2498.9376599999996
