CORRIDA,TURMA,PRODUCAO (T),PRODUCAO ACUMULADA (T),SUCATA (T),RENDIMENTO (%),POTENCIA (MW),POTENCIA (kWh),kWh/T,kWh/T ACUMULADO,kWh/min,kWh/min ACUMULADO,LAN O2 (Nm3),CARVAO (Kg),CJ O2 (Nm3),CJ GN (Nm3),PW_OFF (min),PW_ON (min),TTT (min),TEMP ,CARBONO (%),Turno
65764,GI,26.08304,26.08304,26,100.0,21.24960279143,9456,363,363,354,354,180,239,788.514,168.16151,8.466666666,26.7,35.16666666666,1644,0.0599999986588955,Tarde
65765,GI,26.46536,52.5484,26,100.0,20.57873445338,10255,387,375,343,348,190,0,868.2488,194.34777,8.933333333,29.9,38.83333333333,1645,0.0640000030398369,Tarde
65766,GI,26.44799,78.99639,26,100.0,20.76269000389,10185,385,378,346,347,178,0,796.10038,141.58662,11.66666666,29.43333333333,41.1,1639,0.0379999987781048,Tarde
65767,GI,26.09462,105.09101,26,100.0,21.48767967419,10511,403,384,358,350,141,0,883.50503,179.61426,10.36666666,29.35,39.71666666666,1661,0.0659999996423721,Tarde
65768,GI,25.77023,130.86124,26,99.11626923076,21.17645980992,10271,399,387,353,351,75,0,973.0737,219.0482,7.766666666,29.1,36.86666666666,1620,0.0610000006854534,Tarde
65769,GI,25.31839,156.17963,25,100.0,20.32818507946,10170,402,390,339,349,131,0,871.45645,171.45859,6.516666666,30.01666666666,36.53333333333,1623,0.0780000016093254,Tarde
65770,GI,27.06782,183.24745,27,100.0,20.49618861305,10550,390,390,342,348,147,0,859.50265,176.24173,6.45,30.88333333333,37.33333333333,1637,0.0529999993741512,Tarde
65771,GI,26.18731,209.43476,26,100.0,20.46346244747,10146,387,389,341,347,172,0,842.1973,169.40808,6.566666666,29.75,36.31666666666,1655,0.0529999993741512,Tarde
65772,GI,27.19526,236.63002,27,100.0,20.80095452334,10395,382,389,347,347,148,0,899.08249,176.50787,15.8,29.98333333333,45.78333333333,1636,0.0750000029802322,Tarde
65773,GI,27.02147,263.65149,27,100.0,21.000876227138,10845,401,390,350,347,122,79,1071.8021,211.0979,8.25,30.983333333333,39.233333333333,1621,0.0599999986588955,Tarde
65774,GI,27.11416,290.76565,27,100.0,20.736547481028,10247,378,389,346,347,130,147,846.44126,179.43722,15.516666666,29.65,45.166666666666,1660,0.061999998986721,Tarde
65775,GI,26.49433,317.25998,26,100.0,21.332844423950,10441,394,389,356,348,107,168,855.6684,171.35855,6.5,29.366666666666,35.866666666666,1625,0.0989999994635582,Tarde
