CORRIDA,TURMA,PRODUCAO (T),PRODUCAO ACUMULADA (T),SUCATA (T),RENDIMENTO (%),POTENCIA (MW),POTENCIA (kWh),kWh/T,kWh/T ACUMULADO,kWh/min,kWh/min ACUMULADO,LAN O2 (Nm3),CARVAO (Kg),CJ O2 (Nm3),CJ GN (Nm3),PW_OFF (min),PW_ON (min),TTT (min),TEMP ,CARBONO (%),Turno
65741,AD,25.41686,25.41686,25,100.0,21.17247534386,9728,383,383,353,353,58,186,867.12706,182.61879,11.75,27.56666666666,39.31666666666,1636,0.0700000002980232,Noite
65742,AD,26.29158,51.70844,26,100.0,21.06089983258,9828,374,378,351,352,141,295,798.12696,178.68288,10.61666666,28,38.61666666666,1621,0.0599999986588955,Noite
65743,AD,26.0309,77.73934,26,100.0,21.15457538921,9766,375,377,353,352,91,90,816.48637,174.4273,8.883333333,27.7,36.58333333333,1627,0.068000003695488,Noite
65744,AD,26.21048,103.94982,26,100.0,21.25640262060,9914,378,377,354,353,77,184,807.10097,186.7886,17,27.98333333333,44.98333333333,1622,0.0810000002384186,Noite
65745,AD,26.36109,130.31091,26,100.0,21.20217927631,9735,369,376,353,353,233,211,753.22322,170.20162,8.133333333,27.55,35.68333333333,1617,0.0579999983310699,Noite
65746,AD,26.10042,156.41133,26,100.0,20.85530803028,9518,365,374,348,352,268,0,549.15759,147.28522,11.43333333,27.38333333333,38.81666666666,1634,0,Noite
65747,AD,25.90925,182.32058,26,99.65096153846,20.90601648720,9472,366,373,348,351,151,59,784.42631,184.87056,14.55,27.18333333333,41.73333333333,0,0.0579999983310699,Noite
65748,AD,26.15255,208.47313,26,100.0,20.96077761627,10015,383,374,349,351,145,160,839.09353,170.36079,8.283333333,28.66666666666,36.95,1692,0.0529999993741512,Noite
65749,AD,26.58122,235.05435,27,98.44896296296,20.98345853365,10457,393,376,350,351,137,167,869.504,180.28992,7.883333333,29.9,37.78333333333,1647,0.0719999969005585,Noite
65750,AD,26.31475,261.3691,26,100.0,21.456339404378,10651,405,379,358,352,163,157,920.47044,178.40971,8.3833333333,29.783333333333,38.166666666666,1675,0.0120000001043081,Noite
65751,AD,26.04249,287.41159,26,100.0,20.539873865714,10139,389,380,342,351,142,300,869.94803,187.97151,11,29.616666666666,40.616666666666,1700,0.0700000002980232,Noite
