CORRIDA,TURMA,PRODUCAO (T),PRODUCAO ACUMULADA (T),SUCATA (T),RENDIMENTO (%),POTENCIA (MW),POTENCIA (kWh),kWh/T,kWh/T ACUMULADO,kWh/min,kWh/min ACUMULADO,LAN O2 (Nm3),CARVAO (Kg),CJ O2 (Nm3),CJ GN (Nm3),PW_OFF (min),PW_ON (min),TTT (min),TEMP ,CARBONO (%)
65856,GE,25.74126,25.74126,26,99.00484615384,20.59129943327,10061,391,391,343,343,204,188,695.36174,177.91684,9.083333333,29.31666666666,38.4,1644,0.025000000372529
65857,GI,26.12938,51.87064,26,100.0,21.35614274810,10565,404,398,356,350,105,177,851.97314,176.80429,14.95,29.68333333333,44.63333333333,1683,0.0769999995827675
65858,GI,26.112,77.98264,26,100.0,20.85008216097,9417,361,385,347,349,168,119,715.22439,164.5876,6.433333333,27.1,33.53333333333,1652,0.0579999983310699
65859,GI,26.32054,104.30318,26,100.0,20.74879983206,9867,375,383,346,348,186,160,827.46836,193.96123,10.56666666,28.53333333333,39.1,1637,0.0570000000298023
65860,GI,25.89767,130.20085,26,99.60642307692,21.43988375376,8898,344,375,357,350,164,180,730.6665,165.21148,11.68333333,24.9,36.58333333333,1678,0.00100000004749745
