CORRIDA,TURMA,PRODUCAO (T),PRODUCAO ACUMULADA (T),SUCATA (T),RENDIMENTO (%),POTENCIA (MW),POTENCIA (kWh),kWh/T,kWh/T ACUMULADO,kWh/min,kWh/min ACUMULADO,LAN O2 (Nm3),CARVAO (Kg),CJ O2 (Nm3),CJ GN (Nm3),PW_OFF (min),PW_ON (min),TTT (min),TEMP ,CARBONO (%),Turno
65782,DI,25.12722,25.12722,25,100.0,20.12028727295,11077,441,441,335,335,100,0,1008.6284,184.60903,4.966666666,33.03333333333,38,1682,0.0329999998211861,Manhā
65783,DI,25.13301,50.26023,25,100.0,21.06191372282,10092,402,421,351,343,65,0,927.02704,189.85153,12.11666666,28.75,40.86666666666,1658,0.046000000089407,Manhā
65784,DI,26.34372,76.60395,26,100.0,21.07103302162,10015,380,407,351,345,82,0,877.02943,181.84693,8.9,28.51666666666,37.41666666666,1660,0.0599999986588955,Manhā
65785,DI,26.07145,102.6754,26,100.0,21.20486957097,10426,400,405,353,347,13,0,882.76089,169.95671,6.75,29.5,36.25,1683,0.0759999975562096,Manhā
65786,DI,26.23365,128.90905,26,100.0,21.38743039035,10302,393,403,356,349,66,0,852.672,180.09641,9.883333333,28.9,38.78333333333,1675,0.0670000016689301,Manhā
65787,AD,25.94401,154.85306,26,99.78465384615,20.48544124681,10038,387,400,341,348,144,0,802.32352,164.08148,6.333333333,29.4,35.73333333333,1652,0.0729999989271164,Manhā
65788,AD,26.08304,180.9361,26,100.0,20.48533523202,10209,391,399,341,347,115,0,880.84228,158.85382,6.766666666,29.9,36.66666666666,1654,0.112999998033047,Manhā
65789,AD,25.20253,206.13863,25,100.0,19.87686807445,10651,423,402,331,345,169,0,1068.3853,215.0347,15.98333333,32.15,48.13333333333,1658,0.061999998986721,Manhā
65790,AD,26.33213,232.47076,26,100.0,19.50101076616,9929,377,399,325,343,151,0,879.8569,214.9719,14.65,30.55,45.2,1669,0.0599999986588955,Manhā
65791,AD,26.3553,258.82606,26,100.0,21.266766595784,9984,379,397,354,344,133,0,810.17601,166.01648,6.25,28.166666666666,34.416666666666,1673,0.0700000002980232,Manhā
65792,AD,25.97297,284.79903,26,99.896038461538,21.288609491968,9479,365,394,355,345,115,0,778.05154,161.77217,8.0166666666,26.716666666666,34.733333333333,1668,0.061999998986721,Manhā
65793,AD,26.08304,310.88207,26,100.0,21.121289804193,9270,355,391,352,345,145,0,759.06403,172.80462,9.8166666666,26.333333333333,36.15,1703,0.0599999986588955,Manhā
65794,AD,26.12359,337.00566,26,100.0,20.696554221854,9487,363,389,356,346,64,0,727.61564,157.53678,6.5333333333,26.633333333333,33.166666666666,1654,0.0649999976158142,Manhā
65795,AD,26.05407,363.05973,26,100.0,20.696554221854,9549,367,387,345,346,52,0,865.43506,199.47307,16.116666666,27.683333333333,43.8,1642,0.0560000017285347,Manhā
