CORRIDA,TURMA,PRODUCAO (T),PRODUCAO ACUMULADA (T),SUCATA (T),RENDIMENTO (%),POTENCIA (MW),POTENCIA (kWh),kWh/T,kWh/T ACUMULADO,kWh/min,kWh/min ACUMULADO,LAN O2 (Nm3),CARVAO (Kg),CJ O2 (Nm3),CJ GN (Nm3),PW_OFF (min),PW_ON (min),TTT (min),TEMP ,CARBONO (%),Turno
65846,GE,25.97877,25.97877,26,99.91834615384,20.75131289485,9580,369,369,346,346,118,0,801.47018,176.95244,8.866666666,27.7,36.56666666666,1650,0.0710000023245811,Tarde
65847,GE,25.18515,51.16392,25,100.0,20.30135442839,10100,401,385,338,342,108,175,428.23036,151.5709,8.766666666,29.85,38.61666666666,1631,0.068000003695488,Tarde
65848,GE,25.25466,76.41858,25,100.0,20.82355755447,11349,449,406,347,344,143,246,1186.2819,280.6096,32.23333333,32.7,64.93333333333,1738,0.0329999998211861,Tarde
65849,GE,24.97082,101.3894,25,99.88328,21.28870213468,10077,404,405,355,346,164,168,870.91394,167.83993,7.283333333,28.4,35.68333333333,1626,0.0379999987781048,Tarde
65850,GE,24.95344,126.34284,25,99.81376,20.40811308338,9960,399,404,340,345,163,178,892.87331,174.08501,35.08333333,29.28333333333,64.36666666666,1638,0.0659999996423721,Tarde
65851,GE,25.50376,151.8466,26,98.09138461538,19.44907377577,9433,370,398,324,342,189,138,729.33191,172.68362,7.533333333,29.1,36.63333333333,1629,0.0590000003576279,Tarde
65852,GE,24.95344,176.80004,25,99.81376,21.52668435062,9968,399,399,359,344,93,153,725.65265,185.26902,29.78333333,27.78333333333,57.56666666666,1657,0.0560000017285347,Tarde
65853,GE,25.02295,201.82299,25,100.0,21.21140639449,9557,382,397,354,345,75,176,876.36942,195.31563,76.06666666,27.03333333333,103.1,1659,0.0700000002980232,Tarde
65854,GE,25.04612,226.86911,25,100.0,20.37550326728,10069,402,397,340,345,106,160,987.4105,216.4518,14.95,29.65,44.6,1662,0.0610000006854534,Tarde
65855,GE,26.01353,252.88264,26,100.0,21.189092955508,10418,400,397,353,345,112,155,898.5843,201.6626,13.3,29.5,42.8,1634,0.0610000006854534,Tarde
