CORRIDA,TURMA,PRODUCAO (T),PRODUCAO ACUMULADA (T),SUCATA (T),RENDIMENTO (%),POTENCIA (MW),POTENCIA (kWh),kWh/T,kWh/T ACUMULADO,kWh/min,kWh/min ACUMULADO,LAN O2 (Nm3),CARVAO (Kg),CJ O2 (Nm3),CJ GN (Nm3),PW_OFF (min),PW_ON (min),TTT (min),TEMP ,CARBONO (%)
65796,GI,26.00773,26.00773,26,100.0,20.79203343067,9518,366,366,347,347,196,195,772.47739,181.76874,10.86666666,27.46666666666,38.33333333333,1641,0.0260000005364418
65797,GI,26.61019,52.61792,27,98.55625925925,20.51497630515,9169,345,355,342,344,125,1,700.68997,158.53276,9.666666666,26.81666666666,36.48333333333,1642,0.0520000010728836
65798,GI,25.96718,78.5851,26,99.87376923076,20.93102127380,9006,347,352,349,346,164,107,693.87345,160.14261,13.56666666,25.81666666666,39.38333333333,1668,0.046000000089407
65799,GI,25.04612,103.63122,25,100.0,20.98995694115,9859,394,362,350,347,81,119,878.08784,178.77372,11.8,28.18333333333,39.98333333333,1642,0.0729999989271164
65800,GI,26.15835,129.78957,26,100.0,20.89218164062,9285,355,361,348,347,169,193,795.37623,182.63152,13.15,26.66666666666,39.81666666666,1641,0.0520000010728836
65801,GI,26.07145,155.86102,26,100.0,21.16721754807,9402,361,361,353,348,126,147,797.9018,198.38921,16.4,26.65,43.05,1622,0.0640000030398369
65802,GI,25.15619,181.01721,25,100.0,20.70467266613,9541,379,363,345,348,104,183,794.80826,182.69462,12.21666666,27.65,39.86666666666,1688,0.0540000014007092
65803,GI,26.55226,207.56947,27,98.34170370370,21.31734204338,9759,368,364,355,349,105,181,761.68791,168.39099,8.05,27.46666666666,35.51666666666,1621,0.0450000017881393
65804,GI,25,232.56947,25,100,20.40107082709,9464,379,365,340,348,170,257,770.8634,204.3698,16.55,27.83333333333,44.38333333333,1628,0.0529999993741512
65805,GI,25.8687,258.43817,26,99.495,20.487473924903,8867,343,363,341,347,126,0,718.10501,177.706,12.383333333,25.966666666666,38.35,1646,0.0579999983310699
65806,GI,26.37268,284.81085,26,100.0,20.729859029059,9363,355,362,345,347,223,375,823.34724,196.15707,15.55,27.1,42.65,1632,0.0540000014007092
